tribunal,numero_formatado,numero_raw,classe,assuntos,url_consulta
TJGO,5260247-18.2026.8.09.0137,52602471820268090137,Agravo de Instrumento,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5260247-18.2026.8.09.0137
TJGO,5260244-53.2026.8.09.0011,52602445320268090011,Procedimento Comum Cível,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5260244-53.2026.8.09.0011
TJGO,5259803-08.2026.8.09.0000,52598030820268090000,Agravo de Instrumento,"Honorários Periciais, Contratos Bancários, Efeito Suspensivo a Recurso ",https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5259803-08.2026.8.09.0000
TJGO,5259107-46.2026.8.09.0137,52591074620268090137,Petição Cível,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5259107-46.2026.8.09.0137
TJGO,5258451-74.2026.8.09.0045,52584517420268090045,Procedimento do Juizado Especial Cível,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5258451-74.2026.8.09.0045
TJGO,5258065-81.2026.8.09.0162,52580658120268090162,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5258065-81.2026.8.09.0162
TJGO,5256972-51.2026.8.09.0108,52569725120268090108,Procedimento do Juizado Especial Cível,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5256972-51.2026.8.09.0108
TJGO,5256879-69.2026.8.09.0179,52568796920268090179,Agravo de Instrumento,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5256879-69.2026.8.09.0179
TJGO,5256073-72.2026.8.09.0134,52560737220268090134,Monitória,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5256073-72.2026.8.09.0134
TJGO,5256042-10.2026.8.09.0051,52560421020268090051,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5256042-10.2026.8.09.0051
TJGO,5254424-30.2026.8.09.0051,52544243020268090051,Agravo de Instrumento,"Contratos Bancários, Diligências, Efeito Suspensivo a Recurso ",https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5254424-30.2026.8.09.0051
TJGO,5254289-41.2026.8.09.0011,52542894120268090011,Agravo de Instrumento,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5254289-41.2026.8.09.0011
TJGO,5254086-56.2026.8.09.0051,52540865620268090051,Agravo de Instrumento,Contratos Bancários,https://pje.tjgo.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=5254086-56.2026.8.09.0051
TJMA,0869581-13.2023.8.10.0001,08695811320238100001,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0869581-13.2023.8.10.0001
TJMA,0800207-23.2024.8.10.0146,08002072320248100146,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800207-23.2024.8.10.0146
TJMA,0800488-76.2025.8.10.0070,08004887620258100070,Apelação Cível,"Indenização por Dano Material, Contratos Bancários, Tarifas",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800488-76.2025.8.10.0070
TJMA,0810173-89.2026.8.10.0000,08101738920268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810173-89.2026.8.10.0000
TJMA,0810171-22.2026.8.10.0000,08101712220268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810171-22.2026.8.10.0000
TJMA,0012883-49.2013.8.10.0040,00128834920138100040,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0012883-49.2013.8.10.0040
TJMA,0800394-74.2026.8.10.0109,08003947420268100109,Execução de Título Extrajudicial,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800394-74.2026.8.10.0109
TJMA,0810165-15.2026.8.10.0000,08101651520268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810165-15.2026.8.10.0000
TJMA,0801726-98.2026.8.10.0037,08017269820268100037,Procedimento Comum Cível,"Alienação Fiduciária, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0801726-98.2026.8.10.0037
TJMA,0801724-31.2026.8.10.0037,08017243120268100037,Monitória,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0801724-31.2026.8.10.0037
TJMA,0823755-37.2018.8.10.0001,08237553720188100001,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0823755-37.2018.8.10.0001
TJMA,0810136-62.2026.8.10.0000,08101366220268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810136-62.2026.8.10.0000
TJMA,0810132-25.2026.8.10.0000,08101322520268100000,Conflito de competência cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810132-25.2026.8.10.0000
TJMA,0800407-94.2026.8.10.0102,08004079420268100102,Execução de Título Extrajudicial,"Cédula de Crédito Bancário, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800407-94.2026.8.10.0102
TJMA,0810127-03.2026.8.10.0000,08101270320268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810127-03.2026.8.10.0000
TJMA,0825731-98.2026.8.10.0001,08257319820268100001,Procedimento Comum Cível,"Contratos Bancários, Consórcio",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0825731-98.2026.8.10.0001
TJMA,0819682-25.2024.8.10.0029,08196822520248100029,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0819682-25.2024.8.10.0029
TJMA,0801775-47.2025.8.10.0079,08017754720258100079,Apelação Cível,"Protesto Indevido de Título, Tarifas, Repetição do Indébito, Contratos Bancários, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0801775-47.2025.8.10.0079
TJMA,0801665-41.2025.8.10.0146,08016654120258100146,Apelação Cível,"Indenização por Dano Material, Protesto Indevido de Título, Repetição do Indébito, Tarifas, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0801665-41.2025.8.10.0146
TJMA,0801436-81.2025.8.10.0146,08014368120258100146,Apelação Cível,"Contratos Bancários, Repetição do Indébito, Tarifas, Protesto Indevido de Título, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0801436-81.2025.8.10.0146
TJMA,0820178-85.2017.8.10.0001,08201788520178100001,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0820178-85.2017.8.10.0001
TJMA,0859066-50.2022.8.10.0001,08590665020228100001,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0859066-50.2022.8.10.0001
TJMA,0800921-35.2022.8.10.0022,08009213520228100022,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800921-35.2022.8.10.0022
TJMA,0835091-91.2025.8.10.0001,08350919120258100001,Apelação Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0835091-91.2025.8.10.0001
TJMA,0800528-06.2025.8.10.0152,08005280620258100152,Recurso Inominado Cível,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800528-06.2025.8.10.0152
TJMA,0810017-04.2026.8.10.0000,08100170420268100000,Agravo de Instrumento,Contratos Bancários,https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0810017-04.2026.8.10.0000
TJMA,0800433-28.2026.8.10.0091,08004332820268100091,Procedimento Comum Cível,"Indenização por Dano Material, Contratos Bancários, Direito de Imagem",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800433-28.2026.8.10.0091
TJMA,0800432-43.2026.8.10.0091,08004324320268100091,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Material, Direito de Imagem",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800432-43.2026.8.10.0091
TJMA,0800431-58.2026.8.10.0091,08004315820268100091,Procedimento Comum Cível,"Direito de Imagem, Contratos Bancários, Indenização por Dano Material",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800431-58.2026.8.10.0091
TJMA,0800430-73.2026.8.10.0091,08004307320268100091,Procedimento Comum Cível,"Contratos Bancários, Indenização por Dano Material, Direito de Imagem",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800430-73.2026.8.10.0091
TJMA,0800429-88.2026.8.10.0091,08004298820268100091,Procedimento Comum Cível,"Direito de Imagem, Indenização por Dano Material, Contratos Bancários",https://pje.tjma.jus.br/pje/ConsultaPublica/listView.seam?numeroProcesso=0800429-88.2026.8.10.0091
